source,identifier,reason,detail
bse_all,731560,out_of_scope_segment,Commercial Papers
bse_all,731563,out_of_scope_segment,Commercial Papers
bse_all,731567,out_of_scope_segment,Commercial Papers
bse_all,731576,out_of_scope_segment,Commercial Papers
bse_all,731577,out_of_scope_segment,Commercial Papers
bse_all,731580,out_of_scope_segment,Commercial Papers
bse_all,731581,out_of_scope_segment,Commercial Papers
bse_all,731584,out_of_scope_segment,Commercial Papers
bse_all,731586,out_of_scope_segment,Commercial Papers
bse_all,731593,out_of_scope_segment,Commercial Papers
bse_all,731594,out_of_scope_segment,Commercial Papers
bse_all,731595,out_of_scope_segment,Commercial Papers
bse_all,731600,out_of_scope_segment,Commercial Papers
bse_all,731604,out_of_scope_segment,Commercial Papers
bse_all,731609,out_of_scope_segment,Commercial Papers
bse_all,731614,out_of_scope_segment,Commercial Papers
bse_all,731615,out_of_scope_segment,Commercial Papers
bse_all,731617,out_of_scope_segment,Commercial Papers
bse_all,731619,out_of_scope_segment,Commercial Papers
bse_all,731622,out_of_scope_segment,Commercial Papers
bse_all,731624,out_of_scope_segment,Commercial Papers
bse_all,731630,out_of_scope_segment,Commercial Papers
bse_all,731632,out_of_scope_segment,Commercial Papers
bse_all,731636,out_of_scope_segment,Commercial Papers
bse_all,731637,out_of_scope_segment,Commercial Papers
bse_all,731648,out_of_scope_segment,Commercial Papers
bse_all,731650,out_of_scope_segment,Commercial Papers
bse_all,731667,out_of_scope_segment,Commercial Papers
bse_all,731674,out_of_scope_segment,Commercial Papers
bse_all,731676,out_of_scope_segment,Commercial Papers
bse_all,731680,out_of_scope_segment,Commercial Papers
bse_all,731684,out_of_scope_segment,Commercial Papers
bse_all,731689,out_of_scope_segment,Commercial Papers
bse_all,731692,out_of_scope_segment,Commercial Papers
bse_all,731693,out_of_scope_segment,Commercial Papers
bse_all,731696,out_of_scope_segment,Commercial Papers
bse_all,731701,out_of_scope_segment,Commercial Papers
bse_all,731702,out_of_scope_segment,Commercial Papers
